ID,Last Name,First Name,Program,DOB,Age,Gender,City,Sub-program,Worker,Level of Support,Admission Date,Days Elapsed,Location/County,Referral Source
CLI000025,Rivera,Patricia,STOP,1953-07-04,72,Male,,,,,2015-06-26,3807,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000026,Powell,Dennis,ETS Wrap Around Supports,1993-01-01,32,Male,,,,,2024-05-07,569,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000027,Powell,Jennifer,ETS Path to Employment,1993-01-01,32,Male,,,,,2024-05-09,567,Toronto,"Self,  Family or Friend"
CLI000028,Adams,Rebecca,Somali Program,1978-11-06,47,Female,Scarbrough,,,,2023-07-06,875,Toronto,"Self,  Family or Friend"
CLI000029,Kim,Megan,Bridging Birchmount Greens,1978-11-06,47,Female,Scarbrough,,,,2024-11-04,388,Toronto,Internal Source
CLI000030,Bennett,Charles,Community Advocacy Program,1965-07-02,60,Do not know,,,,,2023-08-31,819,Toronto,"Self,  Family or Friend"
CLI000031,Young,Mark,Refugees Housing Support and System Navigation,1996-02-03,29,Female,,,,,2025-03-18,254,Toronto,"Self,  Family or Friend"
CLI000032,Rogers,Mark,Somali Program,1963-12-01,61,Male,,,,,2020-09-21,1893,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000033,Parker,Gregory,Somali Program,1983-12-14,41,Male,,,,,2024-03-26,611,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000034,Morgan,Cynthia,Somali Program,1991-06-01,34,Female,Toronto,,,,2021-08-25,1555,Toronto,External Source
CLI000035,Torres,Paul,1Housing - 20 Palace,1991-06-01,34,Female,Toronto,,,,2024-11-20,372,Toronto,"Self,  Family or Friend"
CLI000036,Rodriguez,Jonathan,Open House Drop-In/MHJ (Case Management),1981-10-22,44,Male,,,,,2019-08-26,2285,Toronto,"Self,  Family or Friend"
CLI000037,Davis,Kyle,ETS Unassisted Services,1980-06-18,45,Do not know,,,,,2018-08-09,2667,Toronto,"Self,  Family or Friend"
CLI000038,Evans,Joyce,Somali Program,1993-12-25,31,Male,,,,,2023-06-26,885,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000039,Williams,Betty,Somali Program,1965-04-25,60,Male,Scarbrough,,,,2022-03-09,1359,Toronto,"Self,  Family or Friend"
CLI000040,Campbell,Jeffrey,ETS Unassisted Services,1965-04-25,60,Male,Scarbrough,,,,2018-07-18,2689,Toronto,"Self,  Family or Friend"
CLI000041,Cooper,Joshua,Bridging Birchmount Greens,1965-04-25,60,Male,Scarbrough,,,,2023-10-23,766,Toronto,External Source
CLI000042,Bailey,Amanda,ETS Employment and Training Services,1979-01-14,46,Male,,,,,2018-09-27,2618,Toronto,"Self,  Family or Friend"
CLI000043,Brown,Susan,ETS Employment Ontario Follow Up,1984-12-29,40,Female,,,,,2021-03-31,1702,Toronto,"Self,  Family or Friend"
CLI000044,Mendoza,David,ETS SSTEP,1984-12-29,40,Female,,,,,2020-05-21,2016,Toronto,Internal Source
CLI000045,Thomas,Eric,ETS Employment and Training Services,1984-12-29,40,Female,,,,,2020-05-21,2016,Toronto,"Self,  Family or Friend"
CLI000046,Russell,Steven,Bridging Birchmount Greens,1994-01-28,31,Female,Scarborough,,,Medium,2024-12-30,332,Toronto,"Self,  Family or Friend"
CLI000047,Alvarez,Maria,ETS Employment and Training Services,1994-01-28,31,Female,Scarborough,,,,2023-11-08,750,Toronto,"Self,  Family or Friend"
CLI000048,Stewart,Christine,ETS Employment and Training Services,1985-07-25,40,Female,,,,,2023-09-07,812,Toronto,"Self,  Family or Friend"
CLI000049,Sanchez,Kevin,ETS Employment Ontario,1985-07-25,40,Female,,,,,2023-09-07,812,Toronto,"Self,  Family or Friend"
CLI000050,Ortiz,Tyler,Intensive Outreach Team (Downtown),1990-03-29,35,Female,Toronto,,,,2024-11-14,378,Toronto,Internal Source
CLI000051,Bennett,Cynthia,CSS East,1972-11-03,53,Male,Scarborough,,,,2019-04-15,2418,Toronto,Internal Source
CLI000052,Edwards,Kyle,ETS Employment and Training Services,1979-02-06,46,Female,,,,,2024-01-25,672,Toronto,"Self,  Family or Friend"
CLI000053,Allen,Elizabeth,ETS TESS - Career Exploration,1979-02-06,46,Female,,,,,2024-01-29,668,Toronto,"Self,  Family or Friend"
CLI000054,Peterson,Angela,ETS Employment and Training Services,1982-07-16,43,Male,,,,,2018-09-21,2624,Toronto,"Self,  Family or Friend"
CLI000055,Lee,Victoria,Court Dual Diagnosis Justice Program,1992-02-14,33,Male,Toronto,,,,2024-08-15,469,Toronto,Internal Source
CLI000056,Phillips,Kevin,ETS Employment and Training Services,1982-10-26,43,Female,,,,,2022-03-18,1350,Toronto,"Self,  Family or Friend"
CLI000057,Phillips,Jeremy,291 George DROP-IN,1900-01-01,125,Do not know,,,,,2023-10-17,772,Toronto,"Self,  Family or Friend"
CLI000058,Ward,Kyle,Bridging Birchmount Greens,2006-04-04,19,Male,Scarborough,,,,2025-08-13,106,Toronto,"Self,  Family or Friend"
CLI000059,Lee,Jeffrey,Bridging Birchmount Greens,2007-10-10,18,Female,Scarborough,,,,2025-08-13,106,Toronto,"Self,  Family or Friend"
CLI000060,Allen,Scott,Somali Program,1970-07-01,55,Female,Toronto,,,,2021-11-04,1484,Toronto,"Self,  Family or Friend"
CLI000061,Russell,Barbara,Open House Drop-In/MHJ (Case Management),1999-12-25,25,Male,,,,,2021-07-06,1605,Toronto,"Self,  Family or Friend"
CLI000062,Lopez,Eric,Somali Program,1990-12-15,34,Male,,,,,2025-01-21,310,Toronto,The Access Point
CLI000063,Martin,Diane,ETS Employment and Training Services,1990-03-03,35,Male,,,,,2022-04-11,1326,Toronto,"Self,  Family or Friend"
CLI000064,Long,Lisa,Bridging Birchmount Greens,1982-11-13,43,Female,Scarborough,,,,2023-12-11,717,Toronto,External Source
CLI000065,Perry,Ryan,STOP,1937-09-19,88,Female,Toronto,,,Low,2025-05-26,185,Toronto,External Source
CLI000066,Russell,James,ETS Employment and Training Services,1997-02-28,28,Do not know,,,,,2024-08-26,458,Toronto,"Self,  Family or Friend"
CLI000067,Barnes,Sandra,ETS Employment and Training Services,1981-10-29,44,Male,,,,,2019-12-16,2173,Toronto,"Self,  Family or Friend"
CLI000068,Baker,Brandon,Court Diversion - Ontario Court of Justice 10 Armoury,1999-11-04,26,Male,Toronto,,,Medium,2025-10-10,48,Toronto,External Source
CLI000069,Nelson,Alexander,ETS Employment and Training Services,1983-01-10,42,Male,Toronto,,,,2024-11-07,385,Toronto,"Self,  Family or Friend"
CLI000070,Parker,James,Bridging Steps to Support,1970-06-12,55,Male,Toronto,,,Low,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI000071,Murphy,Ethan,Bridging Housing and Community Stabilization,1976-10-11,49,Male,,,,,2015-01-27,3957,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000072,Price,Mary,1Housing - 20 Palace,1976-10-11,49,Male,,,,,2023-08-24,826,Toronto,"Self,  Family or Friend"
CLI000073,Nelson,Nicholas,Court Diversion - College Park,1975-01-09,50,Female,,,,,2012-06-15,4913,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000074,Reed,Jacob,Bridging Enhanced Housing Support Program,1961-07-25,64,Male,,,,,2024-07-02,513,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000075,Ortiz,Andrew,ETS Employment and Training Services,1993-12-20,31,Male,,,,,2024-02-09,657,Toronto,"Self,  Family or Friend"
CLI000076,Peterson,Scott,Bridging Steps to Support,1966-09-28,59,Female,Toronto,,,,2025-07-30,120,Toronto,"Self,  Family or Friend"
CLI000077,Garcia,Scott,ETS Employment Ontario,1975-02-01,50,Male,,,,,2023-04-14,958,Toronto,Internal Source
CLI000078,Henderson,Patricia,ETS Employment and Training Services,1975-02-01,50,Male,,,,,2023-04-14,958,Toronto,"Self,  Family or Friend"
CLI000079,Turner,Joseph,ETS Employment and Training Services,1975-06-01,50,Male,,,,,2022-10-03,1151,Toronto,"Self,  Family or Friend"
CLI000080,Parker,Stephanie,ETS Employment Ontario,1975-06-01,50,Male,,,,,2022-10-04,1150,Toronto,"Self,  Family or Friend"
CLI000081,Jackson,Tyler,ETS Employment Ontario,1996-10-27,29,Do not know,,,,,2022-08-22,1193,Toronto,"Self,  Family or Friend"
CLI000082,Jenkins,Heather,ETS Employment and Training Services,1996-10-27,29,Do not know,,,,,2022-08-22,1193,Toronto,"Self,  Family or Friend"
CLI000083,Campbell,Jason,CSS East,1981-10-18,44,Male,Scarborough,,,,2014-10-08,4068,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000084,Gomez,Jeffrey,ETS Employment Ontario Follow Up,1966-06-24,59,Female,,,,,2024-01-15,682,Toronto,"Self,  Family or Friend"
CLI000085,Hall,Donna,HOP-Housing Stabilization,1999-01-16,26,Female,Toronto,,,,2024-01-02,695,Toronto,"Self,  Family or Friend"
CLI000086,White,Thomas,Intensive Outreach Team (Downtown),1999-01-16,26,Female,Toronto,,,,2023-01-04,1058,Toronto,Internal Source
CLI000087,Mitchell,Emma,1Housing - 20 Palace,1966-06-24,59,Female,Toronto,,,,2024-11-20,372,Toronto,"Self,  Family or Friend"
CLI000088,Hughes,John,1Housing - 20 Palace,1965-07-07,60,Female,Toronto,,,,2024-11-20,372,Toronto,"Self,  Family or Friend"
CLI000089,Clark,Noah,ETS Employment and Training Services,1981-03-20,44,Male,,,,,2021-05-04,1668,Toronto,"Self,  Family or Friend"
CLI000090,James,Dennis,Bridging Housing and Community Stabilization,1974-01-12,51,Male,,,,,2018-04-04,2794,Toronto,"Self,  Family or Friend"
CLI000091,King,Michelle,Intensive Outreach Team (Downtown),1984-05-29,41,Male,,,,,2025-06-03,177,Toronto,The Access Point
CLI000092,Sanders,Zachary,ETS TESS - Career Exploration,1981-01-01,44,Female,,,,,2024-08-26,458,Toronto,"Self,  Family or Friend"
CLI000093,Rodriguez,Nicole,ETS Employment and Training Services,1996-11-29,28,Female,,,,,2020-09-18,1896,Toronto,Other
CLI000094,Sanders,Anthony,ETS Employment Ontario Follow Up,1996-11-29,28,Female,,,,,2021-12-10,1448,Toronto,"Self,  Family or Friend"
CLI000095,Ward,Richard,ETS Employment Ontario,1996-11-29,28,Female,,,,,2020-10-16,1868,Toronto,"Self,  Family or Friend"
CLI000096,Price,Susan,ETS Employment Ontario,1978-04-28,47,Male,,,,,2021-04-22,1680,Toronto,Internal Source
CLI000097,Jimenez,Dennis,ETS Employment Ontario Follow Up,1978-04-28,47,Male,,,,,2021-12-10,1448,Toronto,"Self,  Family or Friend"
CLI000098,Sanders,Adam,ETS Employment and Training Services,1978-04-28,47,Male,,,,,2021-04-22,1680,Toronto,"Self,  Family or Friend"
CLI000099,Stewart,Kenneth,ETS Unassisted Services,1986-06-12,39,Male,,,,,2022-03-14,1354,Toronto,"Self,  Family or Friend"
CLI000100,Vasquez,Julie,Post Incarceration Housing Access and Follow Up,1985-12-27,39,Male,,,,,2020-11-19,1834,Toronto,Internal Source
CLI000101,Ross,Jessica,ETS Employment and Training Services,1970-05-20,55,Female,,,,,2020-09-29,1885,Toronto,Internal Source
CLI000102,Martin,Benjamin,ETS Employment Ontario,1970-05-20,55,Female,,,,,2022-09-16,1168,Toronto,"Self,  Family or Friend"
CLI000103,Hernandez,Victoria,ETS Employment and Training Services,1997-11-23,28,Male,,,,,2022-08-16,1199,Toronto,"Self,  Family or Friend"
CLI000104,Kim,Benjamin,ETS SSTEP,1997-11-23,28,Male,,,,,2022-08-09,1206,Toronto,"Self,  Family or Friend"
CLI000105,Anderson,Michelle,ETS Employment and Training Services,1970-10-30,55,Do not know,,,,,2020-06-29,1977,Toronto,"Self,  Family or Friend"
CLI000106,Price,Ethan,ETS Employment and Training Services,1974-05-18,51,Do not know,,,,,2024-07-04,511,Toronto,"Self,  Family or Friend"
CLI000107,Alvarez,Mary,ETS Women's Baking Program,1988-04-06,37,Female,,,,,2023-08-11,839,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000108,Lee,Stephen,Open House Drop-In/MHJ (Case Management),1992-09-18,33,Male,,,,,2016-12-29,3255,Toronto,"Self,  Family or Friend"
CLI000109,Walker,Larry,Court Diversion - College Park,1972-05-08,53,Male,,,,,2012-01-13,5067,Toronto,"Self,  Family or Friend"
CLI000110,Patel,Megan,Somali Program,1976-10-25,49,Male,Etobicoke,,,,2025-09-22,66,Toronto,Internal Source
CLI000111,Patel,Lisa,ASH,1976-10-25,49,Male,Etobicoke,,,,2020-03-17,2081,Toronto,Internal Source
CLI000112,Martinez,Andrew,ETS Employment and Training Services,1984-10-10,41,Female,,,,,2021-04-08,1694,Toronto,"Self,  Family or Friend"
CLI000113,Phillips,Stephen,ETS SSTEP,1984-10-10,41,Female,,,,,2021-04-08,1694,Toronto,"Self,  Family or Friend"
CLI000114,Jones,Joshua,ETS Employment and Training Services,1979-09-05,46,Male,,,,,2023-09-25,794,Toronto,"Self,  Family or Friend"
CLI000115,Diaz,Robert,ETS Employment Ontario,1969-02-23,56,Female,,,,,2020-09-18,1896,Toronto,Internal Source
CLI000116,Lopez,Brenda,ETS Employment and Training Services,1969-02-23,56,Female,,,,,2020-01-16,2142,Toronto,"Self,  Family or Friend"
CLI000117,White,Joan,ETS Employment and Training Services,1957-04-08,68,Female,,,,,2020-06-04,2002,Toronto,"Self,  Family or Friend"
CLI000118,Butler,Samuel,ETS Path to Employment,1957-04-08,68,Female,,,,,2022-04-05,1332,Toronto,Internal Source
CLI000119,Henderson,Samantha,ETS Employment Ontario,1957-04-08,68,Female,,,,,2020-08-19,1926,Toronto,"Self,  Family or Friend"
CLI000120,Watson,Jennifer,"African,  Black and Caribbean Communities Program",1979-12-29,45,Female,North,,,,2025-06-10,170,Toronto,"Self,  Family or Friend"
CLI000121,Lopez,James,1Housing - 40 Oak,1983-11-29,41,Female,,,,,2021-05-19,1653,Toronto,"Self,  Family or Friend"
CLI000122,Murphy,Paul,ETS Employment and Training Services,1976-12-11,48,Do not know,,,,,2020-06-29,1977,Toronto,"Self,  Family or Friend"
CLI000123,Jackson,David,ETS Employment and Training Services,1988-10-10,37,Female,,,,,2018-11-26,2558,Toronto,"Self,  Family or Friend"
CLI000124,Gray,Joyce,ETS Employment and Training Services,1970-07-17,55,Do not know,,,,,2020-07-14,1962,Toronto,"Self,  Family or Friend"
CLI000125,Howard,Nicole,ETS TESS - Career Exploration,1993-04-04,32,Female,,,,,2024-08-08,476,Toronto,"Self,  Family or Friend"
CLI000126,Long,Jeffrey,1Housing - Kingston Road (4626 & 4628),2000-09-10,25,Male,Scarborough,,,Medium,2025-07-04,146,Toronto,External Source
CLI000127,Roberts,Gary,ETS Employment and Training Services,1988-04-14,37,Male,,,,,2024-09-19,434,Toronto,"Self,  Family or Friend"
CLI000128,Bell,Benjamin,Refugees Housing Support and System Navigation,1992-03-12,33,Male,,,,,2025-01-20,311,Toronto,Internal Source
CLI000129,Garcia,Diane,Refugees Housing Support and System Navigation,2000-05-06,25,Female,Toronto,,,,2025-01-20,311,Toronto,Internal Source
CLI000130,Bailey,Joan,Refugees Housing Support and System Navigation,2000-05-04,25,Female,,,,,2025-01-20,311,Toronto,Internal Source
CLI000131,Hughes,Edward,Somali Program,1975-02-02,50,Male,,,,,2025-07-04,146,Toronto,"Self,  Family or Friend"
CLI000132,Johnson,Richard,ETS Employment and Training Services,1992-07-01,33,Male,,,,,2024-08-23,461,Toronto,"Self,  Family or Friend"
CLI000133,White,Donald,ETS SSTEP,1992-07-01,33,Male,,,,,2024-08-23,461,Toronto,"Self,  Family or Friend"
CLI000134,Morales,Justin,ETS Employment Ontario,1992-07-01,33,Male,,,,,2024-08-23,461,Toronto,"Self,  Family or Friend"
CLI000135,Walker,Patricia,ETS TESS - Hospitality,1983-09-16,42,Do not know,,,,,2024-02-14,652,Toronto,"Self,  Family or Friend"
CLI000136,Smith,Amanda,ETS Employment and Training Services,1999-03-06,26,Male,,,,,2021-08-31,1549,Toronto,"Self,  Family or Friend"
CLI000137,Gutierrez,Lisa,ETS Employment and Training Services,1968-04-23,57,Male,,,,,2020-03-10,2088,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000138,Gomez,Ronald,ETS Employment Ontario,1968-04-23,57,Male,,,,,2020-03-10,2088,Toronto,Internal Source
CLI000139,Parker,Sharon,ETS SSTEP,1968-04-23,57,Male,,,,,2020-03-10,2088,Toronto,Internal Source
CLI000140,Coleman,John,ETS TESS - Hospitality,1983-07-15,42,Female,,,,,2018-03-20,2809,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000141,Stewart,Rachel,Court Diversion - Ontario Court of Justice 10 Armoury,1990-01-13,35,Male,Toronto,,,High,2025-01-16,315,Toronto,External Source
CLI000142,Butler,Donald,ETS Employment and Training Services,1993-02-16,32,Male,,,,,2023-08-28,822,Toronto,"Self,  Family or Friend"
CLI000143,Kim,Larry,ETS Employment Ontario Follow Up,1962-01-08,63,Female,,,,,2021-01-29,1763,Toronto,"Self,  Family or Friend"
CLI000144,Anderson,Susan,ETS Employment and Training Services,1962-01-08,63,Female,,,,,2019-11-18,2201,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000145,Bell,Kenneth,ETS Employment and Training Services,1977-05-16,48,Do not know,,,,,2021-01-12,1780,Toronto,Other
CLI000146,Brooks,Evelyn,ETS Employment Ontario,1977-05-16,48,Do not know,,,,,2021-01-12,1780,Toronto,Internal Source
CLI000147,Morales,Raymond,ETS Employment and Training Services,1982-02-13,43,Female,,,,,2020-06-18,1988,Toronto,"Self,  Family or Friend"
CLI000148,Henderson,Patricia,ETS Employment and Training Services,1969-11-11,56,Male,,,,,2022-04-27,1310,Toronto,"Self,  Family or Friend"
CLI000149,Jimenez,Megan,ETS Wrap Around Supports,1969-11-11,56,Male,,,,,2022-04-27,1310,Toronto,"Self,  Family or Friend"
CLI000150,Martin,Emma,Community Advocacy Program,1994-11-17,31,Female,,,,,2024-04-19,587,Toronto,Internal Source
CLI000151,Stewart,Noah,ETS Employment and Training Services,1990-02-27,35,Female,,,,,2021-02-25,1736,Toronto,"Self,  Family or Friend"
CLI000152,Brooks,Carolyn,ETS Employment Ontario,1990-02-27,35,Female,,,,,2021-02-25,1736,Toronto,"Self,  Family or Friend"
CLI000153,Martinez,Michael,ETS Employment and Training Services,1983-08-21,42,Male,,,,,2024-06-17,528,Toronto,"Self,  Family or Friend"
CLI000154,Wright,Brenda,ETS TESS - Hospitality,1998-05-31,27,Female,,,,,2023-05-01,941,Toronto,"Self,  Family or Friend"
CLI000155,Campbell,Katherine,Refugees Housing Support and System Navigation,2007-07-21,18,Female,Scarborough,,,,2025-01-20,311,Toronto,Internal Source
CLI000156,Mitchell,Nathan,Refugees Housing Support and System Navigation,2005-10-08,20,Female,Scarborough,,,,2025-09-26,62,Toronto,"Self,  Family or Friend"
CLI000157,Wright,Robert,ETS Employment and Training Services,1974-08-16,51,Female,,,,,2019-11-11,2208,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000158,Lewis,Ryan,ETS Employment Ontario Follow Up,1974-08-16,51,Female,,,,,2020-09-02,1912,Toronto,"Self,  Family or Friend"
CLI000159,Morgan,Ethan,ETS Employment Ontario,1999-01-28,26,Male,,,,,2023-01-09,1053,Toronto,"Self,  Family or Friend"
CLI000160,Lewis,Kathleen,ETS Employment and Training Services,1999-01-28,26,Male,,,,,2023-01-09,1053,Toronto,"Self,  Family or Friend"
CLI000161,Howard,Samuel,1Housing - Housing Help,1973-06-07,52,Female,,,,,2025-06-03,177,Toronto,"Self,  Family or Friend"
CLI000162,Wood,Joyce,ETS Employment Ontario Follow Up,1991-09-10,34,Male,,,,,2021-03-31,1702,Toronto,"Self,  Family or Friend"
CLI000163,Evans,Karen,ETS Employment and Training Services,1991-09-10,34,Male,,,,,2020-06-10,1996,Toronto,"Self,  Family or Friend"
CLI000164,Chavez,Joseph,ETS Employment Ontario Follow Up,1993-06-21,32,Female,,,,,2023-09-07,812,Toronto,"Self,  Family or Friend"
CLI000165,Green,Janet,CSS West/40 Oak,1995-09-11,30,Male,toronto,,,Medium,2025-11-20,7,Toronto,Internal Source
CLI000166,Patel,Julie,ETS Employment and Training Services,1976-03-25,49,Do not know,,,,,2020-07-08,1968,Toronto,"Self,  Family or Friend"
CLI000167,Castillo,Donna,ETS Employment and Training Services,1983-07-24,42,Male,,,,,2024-03-13,624,Toronto,"Self,  Family or Friend"
CLI000168,Barnes,Scott,ETS Employment and Training Services,1984-01-23,41,Female,,,,,2020-05-15,2022,Toronto,"Self,  Family or Friend"
CLI000169,Lewis,Dennis,ETS Employment Ontario Follow Up,1984-01-23,41,Female,,,,,2021-01-25,1767,Toronto,"Self,  Family or Friend"
CLI000170,Foster,Michelle,Post Incarceration Housing Access and Follow Up,1985-04-23,40,Male,,,,,2022-02-08,1388,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000171,Coleman,Maria,Intensive Outreach Team (Downtown),1977-10-14,48,Male,,,,,2023-04-19,953,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000172,Bailey,Donald,ETS Employment and Training Services,1959-03-12,66,Male,,,,,2020-03-05,2093,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000173,Thompson,Kathleen,ETS TESS - Hospitality,1959-03-12,66,Male,,,,,2020-03-05,2093,Toronto,Internal Source
CLI000174,Campbell,Benjamin,ETS Employment Ontario Follow Up,1959-03-12,66,Male,,,,,2020-08-24,1921,Toronto,"Self,  Family or Friend"
CLI000175,White,Jacob,ETS Employment and Training Services,1968-06-06,57,Female,,,,,2023-10-30,759,Toronto,"Self,  Family or Friend"
CLI000176,Rogers,Donald,ETS Employment Ontario,1977-02-02,48,Female,North York,,,,2024-12-20,342,Toronto,Internal Source
CLI000177,Nguyen,Anthony,Housing - CMHA,1972-08-30,53,Male,Toronto,,,,2016-11-08,3306,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000178,Chavez,Charles,Pearson Community Bridging Project,1997-01-14,28,Male,,,,,2025-07-11,139,Toronto,"Self,  Family or Friend"
CLI000179,Sullivan,Helen,ETS Employment and Training Services,1994-10-19,31,Male,,,,,2024-01-08,689,Toronto,"Self,  Family or Friend"
CLI000180,Barnes,Ethan,ETS TESS - Career Exploration,1994-10-19,31,Male,,,,,2024-01-29,668,Toronto,"Self,  Family or Friend"
CLI000181,Cox,Donald,ETS TESS - Career Exploration,1967-10-23,58,Male,,,,,2020-05-13,2024,Toronto,Internal Source
CLI000182,Peterson,Melissa,ETS Employment Ontario Follow Up,1967-10-23,58,Male,,,,,2020-12-18,1805,Toronto,"Self,  Family or Friend"
CLI000183,Johnson,Nicholas,ETS Employment and Training Services,1967-10-23,58,Male,,,,,2020-05-13,2024,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000184,Morales,Jonathan,ETS Employment and Training Services,1990-04-14,35,Male,,,,,2023-11-24,734,Toronto,"Self,  Family or Friend"
CLI000185,Johnson,Stephanie,ETS Employment and Training Services,2002-10-15,23,Do not know,,,,,2024-04-18,588,Toronto,"Self,  Family or Friend"
CLI000186,Allen,Ashley,ETS Employment Ontario,1986-06-09,39,Do not know,,,,,2022-04-07,1330,Toronto,"Self,  Family or Friend"
CLI000187,Sanders,Robert,ETS Employment and Training Services,1986-06-09,39,Do not know,,,,,2018-05-11,2757,Toronto,Internal Source
CLI000188,Martinez,Christopher,ETS Employment Ontario Follow Up,1980-06-21,45,Female,,,,,2022-02-18,1378,Toronto,"Self,  Family or Friend"
CLI000189,Campbell,Donald,Bridging Housing and Community Stabilization,1983-03-18,42,Do not know,,,,,2019-06-08,2364,Toronto,"Self,  Family or Friend"
CLI000190,Peterson,Jeffrey,HART Hub,1981-06-17,44,Male,,,,,2025-10-01,57,Toronto,"Self,  Family or Friend"
CLI000191,Green,Amy,ETS Employment Ontario,1995-12-05,29,Female,,,,,2022-01-31,1396,Toronto,"Self,  Family or Friend"
CLI000192,Ramirez,Karen,ETS Employment and Training Services,1995-12-05,29,Female,,,,,2021-12-14,1444,Toronto,"Self,  Family or Friend"
