client_id,first_name,last_name,email,phone,dob,program_name,admission_date,discharge_date,program_status,referral_source,receiving_services,support_workers,notes
CID100044,TestFirst--44,TestLast--44,test44@example.com,+919783116685,2025-07-01,Family Support,2025-01-08,2024-02-07,discharged,Agency B,yes,Asha Patel,Duplicate-case 2 - different referral_source
CID100045,TestFirst--45,TestLast--45,test45@example.com,+919207197394,2024-04-29,Counselling,2025-05-04,2025-06-01,active,Agency B,no,"sunil iyer, Rita Kumar",support workers different order
CID100046,TestFirst--46,TestLast--46,test46@example.com,+919690288745,2023-06-22,Housing Support,2025-05-11,2023-01-30,pending,Agency A,yes,Asha Patel,Duplicate-case 1
CID100047,TestFirst--47,TestLast--47,test47@example.com,+918959416767,2025-03-05,Addiction Counselling,2025-10-29,2025-03-27,pending,Self,no,Rita Kumar,support workers different order
CID100048,TestFirst--48,TestLast--48,test48@example.com,+917619793704,2023-02-25,Employment Assistance,2025-08-22,2023-08-21,active,Agency B,no,Rita Kumar,Initial enrollment
CID100049,TestFirst--49,TestLast--49,test49@example.com,+918775473463,2024-04-14,Family Support,2025-11-16,2023-07-31,pending,Clinic,yes,Rita Kumar,support workers lowercase
CID100050,TestFirst--50,TestLast--50,test50@example.com,+919740896561,2024-03-09,Counselling,2024-04-29,2024-12-10,discharged,Outreach,no,"Rita Kumar,Sunil Iyer",support workers different order
CID100051,TestFirst--51,TestLast--51,test51@example.com,+918091338438,2024-06-05,Housing Support,2024-12-21,2024-02-11,discharged,Hospital,yes,"sunil iyer, Rita Kumar",Duplicate-case 1
CID100052,TestFirst--52,TestLast--52,test52@example.com,+918285156738,2023-05-06,Addiction Counselling,2024-05-09,2023-08-13,discharged,Hospital,no,Rita Kumar,Duplicate-case 2 - different referral_source
CID100053,TestFirst--53,TestLast--53,test53@example.com,+917298823943,2025-10-26,Employment Assistance,2024-05-29,2024-03-09,discharged,Agency B,yes,Sonia Rao,Initial enrollment
CID100054,TestFirst--54,TestLast--54,test54@example.com,+917175702624,2024-10-28,Family Support,2025-06-30,2023-02-20,discharged,Agency B,no,"sunil iyer, Rita Kumar",Duplicate-case 1
CID100055,TestFirst--55,TestLast--55,test55@example.com,+918629746293,2023-11-09,Counselling,2023-07-18,2023-10-17,discharged,Clinic,no,Sonia Rao,Duplicate with status difference
CID100056,TestFirst--56,TestLast--56,test56@example.com,+917944961100,2023-05-16,Housing Support,2024-05-11,2024-09-26,discharged,Self,no,"sunil iyer, Rita Kumar",Primary enrollment
CID100057,TestFirst--57,TestLast--57,test57@example.com,+916605398704,2025-04-09,Addiction Counselling,2024-12-09,2025-06-13,pending,Self,yes,"Rita Kumar,Sunil Iyer",Duplicate with status difference
CID100058,TestFirst--58,TestLast--58,test58@example.com,+918037006634,2023-02-26,Employment Assistance,2025-06-05,2024-04-10,discharged,Self,no,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID100059,TestFirst--59,TestLast--59,test59@example.com,+916098990475,2023-05-16,Family Support,2023-02-10,2024-07-22,pending,Agency C,no,Anil Verma,support workers lowercase
CID100060,TestFirst--60,TestLast--60,test60@example.com,+916364075911,2025-06-18,Counselling,2024-01-15,2023-09-27,active,Hospital,no,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100061,TestFirst--61,TestLast--61,test61@example.com,+916899222340,2024-09-25,Housing Support,2023-06-28,2023-11-11,active,Hospital,no,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100062,TestFirst--62,TestLast--62,test62@example.com,+916381177617,2025-11-20,Addiction Counselling,2024-01-20,2024-03-03,active,Self,yes,"sunil iyer, Rita Kumar",Duplicate-case 2 - different referral_source
CID100063,TestFirst--63,TestLast--63,test63@example.com,+919651733409,2025-02-28,Employment Assistance,2023-05-24,2024-02-12,pending,Agency C,yes,Rita Kumar,Duplicate-case 2 - different referral_source
CID100064,TestFirst--64,TestLast--64,test64@example.com,+916471266933,2023-02-13,Family Support,2025-03-15,2025-08-16,active,Outreach,no,Sonia Rao,Duplicate with status difference
CID100065,TestFirst--65,TestLast--65,test65@example.com,+916414943689,2022-11-29,Counselling,2024-07-02,2024-10-30,pending,Hospital,yes,"Rita Kumar, Sunil Iyer",support workers different order
CID100066,TestFirst--66,TestLast--66,test66@example.com,+918387057200,2025-01-21,Housing Support,2024-03-02,2024-11-17,pending,Self,no,Anil Verma,Duplicate-case 2 - different referral_source
CID100067,TestFirst--67,TestLast--67,test67@example.com,+918495444736,2023-04-26,Addiction Counselling,2024-10-10,2024-03-10,pending,Outreach,yes,Sonia Rao,support workers lowercase
CID100068,TestFirst--68,TestLast--68,test68@example.com,+919741934796,2024-02-08,Employment Assistance,2022-12-16,2024-04-08,pending,Clinic,no,"sunil iyer, Rita Kumar",Duplicate-case 1
CID100069,TestFirst--69,TestLast--69,test69@example.com,+919008719782,2024-07-20,Family Support,2023-05-08,2023-10-18,discharged,School,no,"sunil iyer, Rita Kumar",Duplicate with status difference
CID100070,TestFirst--70,TestLast--70,test70@example.com,+919033393016,2025-05-09,Counselling,2025-06-16,2025-11-14,discharged,School,yes,Anil Verma,support workers different order
CID100071,TestFirst--71,TestLast--71,test71@example.com,+918521681586,2024-08-26,Housing Support,2023-06-01,2023-12-03,discharged,Self,no,Anil Verma,Duplicate-case 2 - different referral_source
CID100072,TestFirst--72,TestLast--72,test72@example.com,+918582069958,2023-03-25,Addiction Counselling,2024-02-26,2025-11-11,active,Self,yes,Sonia Rao,Duplicate-case 1
CID100073,TestFirst--73,TestLast--73,test73@example.com,+917030081587,2024-12-26,Employment Assistance,2023-05-09,2023-05-17,active,Agency B,no,Sonia Rao,support workers different order
CID100074,TestFirst--74,TestLast--74,test74@example.com,+919988106924,2024-06-01,Family Support,2023-07-20,2025-11-04,pending,Agency B,yes,"Rita Kumar,Sunil Iyer",support workers lowercase
CID100075,TestFirst--75,TestLast--75,test75@example.com,+918066093156,2024-10-11,Counselling,2024-10-05,2024-02-12,pending,Agency B,no,Dr. Singh,Duplicate with status difference
CID100076,TestFirst--76,TestLast--76,test76@example.com,+916710328558,2025-05-08,Housing Support,2024-10-22,2025-03-14,pending,Outreach,yes,"Rita Kumar,Sunil Iyer",support workers lowercase
CID100077,TestFirst--77,TestLast--77,test77@example.com,+917107827989,2023-05-30,Addiction Counselling,2023-06-03,2024-07-31,active,Agency C,yes,"sunil iyer, Rita Kumar",support workers lowercase
CID100078,TestFirst--78,TestLast--78,test78@example.com,+917697362762,2024-07-02,Employment Assistance,2023-04-26,2023-07-17,discharged,Agency A,yes,"Rita Kumar, Sunil Iyer",Duplicate-case 1
CID100079,TestFirst--79,TestLast--79,test79@example.com,+917553976109,2024-09-14,Family Support,2023-10-15,2024-01-29,pending,Hospital,yes,Asha Patel,support workers different order
CID100080,TestFirst--80,TestLast--80,test80@example.com,+918159801179,2023-04-09,Counselling,2025-10-23,2025-02-05,pending,Self,yes,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100081,TestFirst--81,TestLast--81,test81@example.com,+916612521352,2024-01-28,Housing Support,2023-02-07,2025-01-23,active,Hospital,yes,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100082,TestFirst--82,TestLast--82,test82@example.com,+918893607499,2023-02-24,Addiction Counselling,2023-01-05,2023-12-04,discharged,Agency B,no,Sonia Rao,Initial enrollment
CID100083,TestFirst--83,TestLast--83,test83@example.com,+916038576478,2025-09-09,Employment Assistance,2023-11-26,2024-02-23,pending,Self,no,"Rita Kumar,Sunil Iyer",support workers lowercase
CID100084,TestFirst--84,TestLast--84,test84@example.com,+918964768910,2023-12-07,Family Support,2023-02-25,2023-09-09,pending,Outreach,no,Sonia Rao,Duplicate with status difference
CID100085,TestFirst--85,TestLast--85,test85@example.com,+918955119849,2025-04-25,Counselling,2023-09-20,2024-05-30,pending,Agency B,yes,Dr. Singh,support workers different order
CID100086,TestFirst--86,TestLast--86,test86@example.com,+919852660198,2024-03-01,Housing Support,2023-06-01,2025-08-25,discharged,School,no,"Rita Kumar,Sunil Iyer",Initial enrollment
CID100087,TestFirst--87,TestLast--87,test87@example.com,+918853017432,2024-06-14,Addiction Counselling,2025-07-01,2024-03-23,active,Self,no,"Rita Kumar, Sunil Iyer",Primary enrollment
CID100088,TestFirst--88,TestLast--88,test88@example.com,+917931752182,2024-01-20,Employment Assistance,2023-07-05,2024-10-20,pending,Agency A,yes,Sonia Rao,support workers different order
CID100089,TestFirst--89,TestLast--89,test89@example.com,+916944056928,2023-12-15,Family Support,2023-04-10,2025-01-10,discharged,Clinic,yes,Sonia Rao,support workers different order
CID100090,TestFirst--90,TestLast--90,test90@example.com,+918614157534,2025-09-03,Counselling,2025-01-30,2024-12-24,active,Hospital,yes,"Rita Kumar,Sunil Iyer",Primary enrollment
CID100091,TestFirst--91,TestLast--91,test91@example.com,+919417445819,2025-05-12,Housing Support,2024-02-10,2025-01-12,active,Agency C,yes,Anil Verma,Initial enrollment
CID100092,TestFirst--92,TestLast--92,test92@example.com,+919069316500,2025-11-12,Addiction Counselling,2025-08-03,2025-03-14,active,School,no,"sunil iyer, Rita Kumar",support workers lowercase
CID100093,TestFirst--93,TestLast--93,test93@example.com,+919574189379,2024-10-03,Employment Assistance,2025-08-05,2024-05-04,pending,Agency C,yes,Rita Kumar,support workers different order
CID100094,TestFirst--94,TestLast--94,test94@example.com,+919425241797,2024-05-07,Family Support,2023-03-04,2024-08-10,pending,Outreach,no,Rita Kumar,Initial enrollment
CID100095,TestFirst--95,TestLast--95,test95@example.com,+916066095674,2024-04-06,Counselling,2024-04-25,2024-12-15,pending,Agency C,no,Dr. Singh,Primary enrollment
CID100096,TestFirst--96,TestLast--96,test96@example.com,+918436153277,2023-02-25,Housing Support,2023-07-30,2023-04-11,pending,Agency B,yes,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100097,TestFirst--97,TestLast--97,test97@example.com,+919611710994,2022-12-05,Addiction Counselling,2025-03-12,2023-08-21,active,Clinic,yes,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100098,TestFirst--98,TestLast--98,test98@example.com,+917765246007,2023-05-13,Employment Assistance,2024-05-13,2023-09-10,discharged,Agency C,yes,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100099,TestFirst--99,TestLast--99,test99@example.com,+917017967045,2024-06-25,Family Support,2023-04-28,2024-03-27,pending,Agency C,yes,Dr. Singh,support workers different order
CID100100,TestFirst--100,TestLast--100,test100@example.com,+919621282705,2024-02-07,Counselling,2025-04-19,2025-02-24,pending,Outreach,yes,Anil Verma,Primary enrollment
CID100101,TestFirst--101,TestLast--101,test101@example.com,+916033209028,2025-03-23,Housing Support,2025-09-10,2025-10-17,active,School,yes,Dr. Singh,Primary enrollment
CID100102,TestFirst--102,TestLast--102,test102@example.com,+919117274903,2024-10-04,Addiction Counselling,2024-06-27,2025-07-25,pending,Self,yes,Sonia Rao,Initial enrollment
CID100103,TestFirst--103,TestLast--103,test103@example.com,+916147745904,2024-08-19,Employment Assistance,2023-01-20,2023-12-22,active,Self,yes,Dr. Singh,Duplicate with status difference
CID100104,TestFirst--104,TestLast--104,test104@example.com,+916799182041,2023-05-28,Family Support,2023-10-27,2024-07-02,active,School,no,Rita Kumar,Duplicate with status difference
CID100105,TestFirst--105,TestLast--105,test105@example.com,+918260784595,2023-05-17,Counselling,2024-02-05,2024-06-21,pending,Hospital,no,Sonia Rao,Initial enrollment
CID100106,TestFirst--106,TestLast--106,test106@example.com,+919509556058,2023-01-26,Housing Support,2025-11-14,2024-02-20,active,Self,yes,"Rita Kumar, Sunil Iyer",Duplicate-case 1
CID100107,TestFirst--107,TestLast--107,test107@example.com,+916539126165,2025-02-13,Addiction Counselling,2025-03-26,2025-05-17,pending,Clinic,no,"Rita Kumar, Sunil Iyer",support workers different order
CID100108,TestFirst--108,TestLast--108,test108@example.com,+916501234847,2025-06-23,Employment Assistance,2023-12-10,2024-07-14,pending,Agency B,yes,"Rita Kumar, Sunil Iyer",support workers lowercase
CID100109,TestFirst--109,TestLast--109,test109@example.com,+918676829408,2024-10-10,Family Support,2024-11-21,2025-04-27,active,Clinic,no,"sunil iyer, Rita Kumar",Initial enrollment
CID100110,TestFirst--110,TestLast--110,test110@example.com,+919940225946,2023-10-25,Counselling,2023-11-05,2023-08-16,active,Agency C,no,"Rita Kumar,Sunil Iyer",support workers different order
CID100111,TestFirst--111,TestLast--111,test111@example.com,+918901192452,2024-09-02,Housing Support,2023-05-11,2025-10-26,active,Agency A,no,Sonia Rao,Primary enrollment
CID100112,TestFirst--112,TestLast--112,test112@example.com,+919981205613,2025-06-08,Addiction Counselling,2023-01-22,2024-01-14,discharged,Agency A,no,"Rita Kumar, Sunil Iyer",Initial enrollment
CID100113,TestFirst--113,TestLast--113,test113@example.com,+917563306653,2023-05-06,Employment Assistance,2024-02-11,2022-12-09,pending,Agency B,yes,Anil Verma,Duplicate-case 1
CID100114,TestFirst--114,TestLast--114,test114@example.com,+916951834457,2023-03-30,Family Support,2025-04-27,2023-04-12,discharged,Agency B,yes,Dr. Singh,Initial enrollment
CID100115,TestFirst--115,TestLast--115,test115@example.com,+917763675422,2024-07-30,Counselling,2024-03-12,2025-07-26,pending,Hospital,no,Dr. Singh,Duplicate-case 1
CID100116,TestFirst--116,TestLast--116,test116@example.com,+916797543842,2023-04-16,Housing Support,2023-01-18,2024-11-29,active,Outreach,yes,"sunil iyer, Rita Kumar",support workers different order
CID100117,TestFirst--117,TestLast--117,test117@example.com,+919260776748,2024-04-05,Addiction Counselling,2023-02-28,2023-09-05,active,Agency C,no,"sunil iyer, Rita Kumar",Initial enrollment
CID100118,TestFirst--118,TestLast--118,test118@example.com,+918356354172,2025-10-17,Employment Assistance,2024-08-19,2023-04-21,active,School,yes,Anil Verma,Duplicate-case 1
CID100119,TestFirst--119,TestLast--119,test119@example.com,+918368418331,2023-07-12,Family Support,2023-05-19,2023-10-05,active,Hospital,no,Asha Patel,support workers lowercase
CID100120,TestFirst--120,TestLast--120,test120@example.com,+917778377930,2025-09-29,Counselling,2023-09-23,2025-10-23,pending,Agency A,no,Rita Kumar,support workers lowercase
CID100121,TestFirst--121,TestLast--121,test121@example.com,+918461738973,2024-05-27,Housing Support,2023-11-28,2024-02-21,pending,School,yes,Anil Verma,Duplicate-case 1
CID100122,TestFirst--122,TestLast--122,test122@example.com,+919610023471,2023-10-24,Addiction Counselling,2025-04-19,2024-04-15,discharged,Agency A,no,"sunil iyer, Rita Kumar",support workers lowercase
CID100123,TestFirst--123,TestLast--123,test123@example.com,+917774503902,2025-04-20,Employment Assistance,2025-10-28,2025-09-22,pending,Self,yes,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100124,TestFirst--124,TestLast--124,test124@example.com,+919739506199,2023-12-09,Family Support,2025-03-02,2023-12-07,discharged,Hospital,no,Dr. Singh,support workers different order
CID100125,TestFirst--125,TestLast--125,test125@example.com,+918745220546,2023-07-07,Counselling,2023-08-27,2024-10-13,active,Outreach,yes,Rita Kumar,support workers different order
CID100126,TestFirst--126,TestLast--126,test126@example.com,+917908980741,2025-10-23,Housing Support,2024-06-18,2025-02-06,pending,School,no,Anil Verma,Duplicate-case 1
CID100127,TestFirst--127,TestLast--127,test127@example.com,+916051111118,2025-04-15,Addiction Counselling,2024-12-04,2023-02-11,discharged,Agency B,no,Sonia Rao,Duplicate-case 2 - different referral_source
CID100128,TestFirst--128,TestLast--128,test128@example.com,+917057605427,2023-02-07,Employment Assistance,2025-03-17,2025-09-11,active,Agency B,no,"Rita Kumar,Sunil Iyer",Duplicate with status difference
CID100129,TestFirst--129,TestLast--129,test129@example.com,+919058742353,2025-07-01,Family Support,2022-12-03,2024-01-19,discharged,Agency C,no,"sunil iyer, Rita Kumar",Duplicate with status difference
CID100130,TestFirst--130,TestLast--130,test130@example.com,+917096096696,2025-09-23,Counselling,2024-07-18,2024-10-31,discharged,Self,yes,Anil Verma,support workers lowercase
CID100131,TestFirst--131,TestLast--131,test131@example.com,+918318304530,2025-01-29,Housing Support,2024-04-03,2024-05-18,discharged,Outreach,no,"sunil iyer, Rita Kumar",Initial enrollment
CID100132,TestFirst--132,TestLast--132,test132@example.com,+918114058681,2023-11-18,Addiction Counselling,2024-02-23,2024-02-23,active,Agency A,no,Anil Verma,support workers lowercase
CID100133,TestFirst--133,TestLast--133,test133@example.com,+917495558542,2023-10-23,Employment Assistance,2023-06-14,2023-03-28,discharged,Clinic,no,Anil Verma,Duplicate-case 1
CID100134,TestFirst--134,TestLast--134,test134@example.com,+918278201799,2025-08-15,Family Support,2025-01-14,2024-01-14,discharged,Agency C,yes,"sunil iyer, Rita Kumar",Duplicate with status difference
CID100135,TestFirst--135,TestLast--135,test135@example.com,+916317961447,2023-02-26,Counselling,2025-08-11,2025-08-08,active,Self,yes,Rita Kumar,Duplicate-case 1
CID100136,TestFirst--136,TestLast--136,test136@example.com,+919101527665,2023-07-12,Housing Support,2022-12-04,2025-05-12,discharged,Agency A,no,"Rita Kumar, Sunil Iyer",Duplicate with status difference
CID100137,TestFirst--137,TestLast--137,test137@example.com,+918485739563,2023-10-06,Addiction Counselling,2022-12-25,2023-07-16,discharged,Agency C,no,"sunil iyer, Rita Kumar",support workers different order
CID100138,TestFirst--138,TestLast--138,test138@example.com,+916226553473,2024-01-16,Employment Assistance,2024-10-25,2022-12-19,discharged,Agency C,no,Dr. Singh,support workers lowercase
CID100139,TestFirst--139,TestLast--139,test139@example.com,+916012726251,2023-06-06,Family Support,2024-04-17,2023-12-15,pending,School,no,Asha Patel,Primary enrollment
CID100140,TestFirst--140,TestLast--140,test140@example.com,+916520511643,2024-08-01,Counselling,2023-02-01,2025-03-01,pending,Outreach,yes,Anil Verma,Duplicate-case 1
CID100141,TestFirst--141,TestLast--141,test141@example.com,+919006389240,2025-07-15,Housing Support,2023-11-20,2022-12-05,discharged,Agency A,yes,Dr. Singh,support workers lowercase
CID100142,TestFirst--142,TestLast--142,test142@example.com,+918588378150,2025-07-18,Addiction Counselling,2023-03-19,2025-04-19,discharged,Agency A,yes,Dr. Singh,Initial enrollment
CID100143,TestFirst--143,TestLast--143,test143@example.com,+916544932242,2025-04-22,Employment Assistance,2024-11-06,2024-02-14,discharged,Clinic,no,Anil Verma,Initial enrollment
CID100144,TestFirst--144,TestLast--144,test144@example.com,+916963307375,2024-09-14,Family Support,2023-02-07,2025-09-24,active,Agency C,no,Asha Patel,Duplicate-case 1
CID100145,TestFirst--145,TestLast--145,test145@example.com,+918868183396,2024-10-27,Counselling,2025-07-19,2024-03-11,discharged,Agency B,yes,"sunil iyer, Rita Kumar",support workers lowercase
CID100146,TestFirst--146,TestLast--146,test146@example.com,+916908217113,2025-06-11,Housing Support,2023-07-15,2025-03-25,active,Self,no,Dr. Singh,Duplicate with status difference
CID100147,TestFirst--147,TestLast--147,test147@example.com,+918754634968,2023-06-22,Addiction Counselling,2023-11-29,2025-01-19,active,School,no,"Rita Kumar, Sunil Iyer",Duplicate-case 1
CID100148,TestFirst--148,TestLast--148,test148@example.com,+917445095870,2025-09-19,Employment Assistance,2025-01-23,2023-05-07,pending,School,no,Sonia Rao,support workers lowercase
CID100149,TestFirst--149,TestLast--149,test149@example.com,+916516823134,2023-01-09,Family Support,2024-11-29,2023-03-26,discharged,Agency B,no,"Rita Kumar, Sunil Iyer",Duplicate-case 2 - different referral_source
CID100150,TestFirst--150,TestLast--150,test150@example.com,+917229847142,2024-10-23,Counselling,2024-03-29,2025-07-13,discharged,Clinic,yes,Asha Patel,Duplicate-case 2 - different referral_source
CID100151,TestFirst--151,TestLast--151,test151@example.com,+917762583511,2024-11-12,Housing Support,2023-07-25,2025-04-11,active,Agency C,no,"sunil iyer, Rita Kumar",Initial enrollment
CID100152,TestFirst--152,TestLast--152,test152@example.com,+916999459971,2024-05-16,Addiction Counselling,2025-01-25,2025-01-15,pending,Agency A,no,Sonia Rao,Duplicate with status difference
